ticker,date,totalvol,retailvol
AAPL,10/1/2021,94639581,45114802
AAPL,10/4/2021,98322008,43746597
AAPL,10/5/2021,80861062,39387194
AAPL,10/6/2021,83221119,39844437
AAPL,10/7/2021,61732656,29108534
AAPL,10/8/2021,58773155,27041456
AAPL,10/11/2021,64452219,33735401
AAPL,10/12/2021,73035859,30978994
AAPL,10/13/2021,78762721,35625944
AAPL,10/14/2021,69907100,33825596
AAPL,10/15/2021,67940334,32040615
AAPL,10/18/2021,85589175,42914401
AAPL,10/19/2021,76378894,38255106
AAPL,10/20/2021,58418788,28428318
AAPL,10/21/2021,61420990,30911927
AAPL,10/22/2021,58883443,27143751
AAPL,10/25/2021,50720556,24104280
AAPL,10/26/2021,60893395,28661887
AAPL,10/27/2021,56094929,26392651
AAPL,10/28/2021,100077888,42880854
AAPL,10/29/2021,124953168,64560274
AAPL,11/1/2021,74588258,37124665
AAPL,11/2/2021,69121987,31688838
AAPL,11/3/2021,54511534,25377501
AAPL,11/4/2021,60394616,25577775
AAPL,11/5/2021,65463883,30997329
AAPL,11/8/2021,55020868,30360916
AAPL,11/9/2021,56787930,25238691
AAPL,11/10/2021,65187092,26898211
AAPL,11/11/2021,40999950,17502077
AAPL,11/12/2021,63804008,32034199
AAPL,11/15/2021,59222803,29175839
AAPL,11/16/2021,59256210,27057451
AAPL,11/17/2021,88807000,41013333
AAPL,11/18/2021,137827673,70144747
AAPL,11/19/2021,117305597,54484592
AAPL,11/22/2021,117467889,56501544
AMZN,1/2/2018,2694494,1095329
AMZN,1/3/2018,3108793,1171806
AMZN,1/4/2018,3022089,1252489
AMZN,1/5/2018,3544743,1362766
AMZN,1/8/2018,4279475,1978753
AMZN,1/9/2018,3661316,1523697
AMZN,1/10/2018,2686017,1052573
AMZN,1/11/2018,3125048,1302572
AMZN,1/12/2018,5443730,2257859
AMZN,1/16/2018,7220701,3054548
AMZN,1/17/2018,5253754,2231816
AMZN,1/18/2018,4026915,1806518
AMZN,1/19/2018,4578536,1751555
AMZN,1/22/2018,4140061,1810055
AMZN,1/23/2018,5169306,2002740
AMZN,1/24/2018,6807457,2960308
AMZN,1/25/2018,4753012,2034137
AMZN,1/26/2018,4857310,1969204
AMZN,1/29/2018,5701898,2374792
AMZN,1/30/2018,5871942,2682537
AMZN,1/31/2018,6424693,2852026
AMZN,2/1/2018,9113808,3656615
AMZN,2/2/2018,11125722,4685175
AMZN,2/5/2018,11494985,4925048
AMZN,2/6/2018,11066819,4574408
AMZN,2/7/2018,7162741,3060743
AMZN,2/8/2018,8578557,3545051
AMZN,2/9/2018,14141524,6065033
AMZN,2/12/2018,6738944,2830121
AMZN,2/13/2018,5917879,2618016
AMZN,2/14/2018,5959209,2434242
AMZN,2/15/2018,5652736,2193453
AMZN,2/16/2018,4472564,1829191
AMZN,2/20/2018,6499228,2748542
AMZN,2/21/2018,6304351,2714909
AMZN,2/22/2018,4858063,2089576
AMZN,2/23/2018,4418103,1745313
AMZN,2/26/2018,4954988,2049987
AMZN,2/27/2018,4808776,1991271
AMZN,2/28/2018,4515023,1801062
AMZN,3/1/2018,6835230,2912589
AMZN,3/2/2018,6587564,2803856
AMZN,3/5/2018,5233934,2309501
